"","rank","namePlayer","position_abbreviation","team_abbreviation","TOTAL_100"
"1",1,"Nikola Jokic","C","DEN",98.3497044276881
"2",2,"Shai Gilgeous-Alexander","PG","OKC",97.6213749134357
"3",3,"Tyrese Haliburton","PG","IND",95.2546642936726
"4",4,"Giannis Antetokounmpo","PF","MIL",94.2446754246487
"5",5,"Anthony Davis","PF","DAL",92.7030737341805
"6",6,"Jimmy Butler III","SF","GS",92.226066443907
"7",7,"Victor Wembanyama","C","SA",92.1961337878026
"8",8,"Luka Doncic","PG","LAL",91.9157556738037
"9",9,"Evan Mobley","PF","CLE",91.0510362557078
"10",10,"Jarrett Allen","C","CLE",89.0880329061756
"11",11,"Jalen Williams","F","OKC",89.0236275974855
"12",12,"Alex Caruso","SG","OKC",88.7069081015237
"13",13,"James Harden","SG","LAC",88.5860740166299
"14",14,"Darius Garland","PG","CLE",88.5833993506246
"15",15,"Ty Jerome","SG","CLE",88.3032615129515
"16",16,"Jayson Tatum","SF","BOS",88.2906545559478
"17",17,"LeBron James","SF","LAL",88.0329822710361
"18",18,"Dyson Daniels","G","ATL",88.0329251431255
"19",19,"Stephen Curry","PG","GS",87.677278753275
"20",20,"Domantas Sabonis","PF","SAC",87.406322511175
"21",21,"Donovan Mitchell","SG","CLE",87.2286783242731
"22",22,"Karl-Anthony Towns","C","NY",85.5152040453412
"23",23,"Derrick White","PG","BOS",85.4170434324735
"24",24,"Payton Pritchard","PG","BOS",84.9201118362347
"25",25,"Josh Hart","SG","NY",84.8515285504348
"26",26,"Amen Thompson","F","HOU",84.8039039355807
"27",27,"Cade Cunningham","PG","DET",84.7892916242571
"28",28,"Trae Young","PG","ATL",84.5916944396499
"29",29,"T.J. McConnell","PG","IND",84.235085911483
"30",30,"Alperen Sengun","C","HOU",84.1181088945707
"31",31,"Zion Williamson","PF","NO",84.1048523963038
"32",32,"Jamal Murray","PG","DEN",83.7706132216555
"33",33,"Tari Eason","F","HOU",83.7609121599214
"34",34,"Josh Giddey","SG","CHI",83.7537363878717
"35",35,"Chris Paul","PG","SA",83.7182362775551
"36",36,"Christian Braun","G","DEN",83.68102298895
"37",37,"Ivica Zubac","C","LAC",83.3942264122327
"38",38,"Luke Kornet","C","BOS",82.8479361404869
"39",39,"Josh Okogie","SF","CHA",82.6216582392048
"40",40,"Damian Lillard","PG","MIL",82.5264554704117
"41",41,"Jalen Brunson","PG","NY",82.4048335138194
"42",42,"Kawhi Leonard","SF","LAC",82.3415677818374
"43",43,"Pascal Siakam","PF","IND",81.7608721900584
"44",44,"Jakob Poeltl","C","TOR",81.4671430689843
"45",45,"Thomas Bryant","C","IND",81.4570591361328
"46",46,"Onyeka Okongwu","PF","ATL",81.3707831067345
"47",47,"Nikola Vucevic","C","CHI",81.3306880774102
"48",48,"Tre Jones","PG","CHI",81.2953385557623
"49",49,"Jaren Jackson Jr.","PF","MEM",81.2925001775021
"50",50,"Daniel Gafford","C","DAL",81.0681551561287
"51",51,"Anthony Edwards","SG","MIN",80.8967988871014
"52",52,"Scotty Pippen Jr.","G","MEM",80.8838925392916
"53",53,"Tyler Herro","PG","MIA",80.4525586452183
"54",54,"Chet Holmgren","PF","OKC",80.3155256767006
"55",55,"Keon Ellis","G","SAC",80.2689185563799
"56",56,"Desmond Bane","SG","MEM",80.1615216115796
"57",57,"Austin Reaves","SG","LAL",79.9898387259144
"58",58,"Goga Bitadze","C","ORL",79.9365519718965
"59",59,"Ausar Thompson","F","DET",79.6085378522144
"60",60,"Bam Adebayo","C","MIA",79.5643385597089
"61",61,"Kristaps Porzingis","C","BOS",79.3458503894522
"62",62,"Kevin Durant","PF","PHX",78.6820227057639
"63",63,"Cason Wallace","G","OKC",78.6697608406026
"64",64,"Gary Payton II","SG","GS",78.4495603972341
"65",65,"Walker Kessler","C","UTAH",78.3442241873743
"66",66,"Jalen Duren","C","DET",78.2608879359203
"67",67,"Jay Huff","C","MEM",78.2453671347618
"68",68,"Ja Morant","PG","MEM",78.2394336794773
"69",69,"Santi Aldama","PF","MEM",78.2392321260504
"70",70,"Dereck Lively II","C","DAL",77.8658416232375
"71",71,"Jonathan Isaac","PF","ORL",77.6613426866791
"72",72,"Jalen Johnson","SF","ATL",77.556913603926
"73",73,"Jaylin Williams","F","OKC",77.3980123285178
"74",74,"Franz Wagner","SF","ORL",77.2844776243429
"75",75,"De'Aaron Fox","PG","SA",77.2283153094816
"76",76,"Scottie Barnes","SF","TOR",77.1981573742885
"77",77,"Kyrie Irving","PG","DAL",77.1821967979076
"78",78,"Isaiah Hartenstein","C","OKC",76.8891853613718
"79",79,"Caris LeVert","SG","ATL",76.8607024988995
"80",80,"Aaron Wiggins","SG","OKC",76.5519231794185
"81",81,"Jonas Valanciunas","C","SAC",76.5041335099678
"82",82,"Tyrese Maxey","PG","PHI",76.4183477346483
"83",83,"Day'Ron Sharpe","C","BKN",76.1835131746397
"84",84,"Rudy Gobert","C","MIN",76.1593648414167
"85",85,"Sandro Mamukelashvili","PF","SA",76.0875522225307
"86",86,"OG Anunoby","SF","NY",76.03949670517
"87",87,"Moritz Wagner","C","ORL",76.0316820754808
"88",88,"Kevon Looney","F","GS",75.1609361370234
"89",89,"John Konchar","SG","MEM",74.9847510617506
"90",90,"Zach Collins","PF","CHI",74.7068096756679
"91",91,"Kyle Anderson","SF","MIA",74.420710502976
"92",92,"Obi Toppin","PF","IND",74.345509377949
"93",93,"Zach Edey","C","MEM",74.2462506921043
"94",94,"Brook Lopez","C","MIL",74.1867654390279
"95",95,"Jaylen Brown","SG","BOS",74.1660052799981
"96",96,"Kris Dunn","G","LAC",74.1594646676093
"97",97,"Draymond Green","PF","GS",73.8221865763448
"98",98,"Drew Eubanks","PF","LAC",73.7760161395374
"99",99,"Myles Turner","C","IND",73.6614038251884
"100",100,"Kel'el Ware","C","MIA",73.5277142837371
"101",101,"Tyus Jones","PG","PHX",73.4199950693147
"102",102,"Devin Booker","SG","PHX",73.3880569723723
"103",103,"Mouhamed Gueye","F","ATL",73.0037189390993
"104",104,"Brandin Podziemski","G","GS",72.8575112459886
"105",105,"Dwight Powell","C","DAL",72.5596631124887
"106",106,"Mikal Bridges","SF","NY",72.4954762636302
"107",107,"Michael Porter Jr.","F","DEN",72.2618615011762
"108",108,"Naz Reid","C","MIN",72.2058196759094
"109",109,"Kevin Porter Jr.","G","MIL",72.2029647274706
"110",110,"DeMar DeRozan","SF","SAC",71.9841184857063
"111",111,"Jake LaRavia","F","SAC",71.779616354599
"112",112,"Brandon Clarke","PF","MEM",71.7127354797121
"113",113,"Jalen Smith","PF","CHI",71.6136219599352
"114",114,"Jrue Holiday","PG","BOS",71.563040726336
"115",115,"Norman Powell","G","LAC",71.5519007524615
"116",116,"Khris Middleton","SF","WSH",71.3934686378046
"117",117,"Aaron Gordon","PF","DEN",71.3666021953113
"118",118,"Isaiah Joe","SG","OKC",71.3434899888265
"119",119,"Justin Champagnie","SF","WSH",71.3059274312348
"120",120,"Mark Williams","C","CHA",71.2700033058943
"121",121,"Chris Boucher","PF","TOR",71.2620441394025
"122",122,"Mike Conley","PG","MIN",71.0807580566062
"123",123,"Luke Kennard","SG","MEM",70.9599233086296
"124",124,"Donovan Clingan","C","POR",70.1228619676233
"125",125,"Donte DiVincenzo","SG","MIN",69.9003234763856
"126",126,"Sam Hauser","SF","BOS",69.4605606635362
"127",127,"Deni Avdija","SF","POR",69.3982736813518
"128",128,"Zach LaVine","SG","SAC",69.3667902036797
"129",129,"Andrew Wiggins","SF","MIA",69.2951617543862
"130",130,"Cameron Johnson","SF","BKN",69.0672406507469
"131",131,"Dejounte Murray","SG","NO",68.9913061531066
"132",132,"Fred VanVleet","PG","HOU",68.9351484523007
"133",133,"John Collins","PF","UTAH",68.7829275647977
"134",134,"Jaden McDaniels","PF","MIN",68.7601418958505
"135",135,"Kenrich Williams","SF","OKC",68.2729041155292
"136",136,"Al Horford","C","BOS",68.1885343240964
"137",137,"Derrick Jones Jr.","SF","LAC",67.887011954383
"138",138,"Ryan Rollins","G","MIL",67.8466504657525
"139",139,"Lonzo Ball","PG","CHI",67.7816317445537
"140",140,"Tobias Harris","F","DET",67.6917068157349
"141",141,"Kelly Olynyk","PF","NO",67.663154386903
"142",142,"LaMelo Ball","PG","CHA",67.5508513135827
"143",143,"Julius Randle","PF","MIN",67.5493203011771
"144",144,"Bobby Portis","F","MIL",67.5139456209044
"145",145,"Malik Monk","SG","SAC",67.3358873261549
"146",146,"Jusuf Nurkic","C","CHA",67.0103122062092
"147",147,"Joel Embiid","C","PHI",66.8266936251771
"148",148,"Harrison Barnes","SF","SA",66.6560687128451
"149",149,"Isaiah Stewart","C","DET",66.4290960202869
"150",150,"Quentin Grimes","SG","PHI",66.4008941976325
"151",151,"Luguentz Dort","G","OKC",66.3921475629967
"152",152,"Jaxson Hayes","C","LAL",66.0774029693642
"153",153,"Sam Merrill","SG","CLE",65.7362279297577
"154",154,"Paul George","F","PHI",65.6476689735689
"155",155,"Paolo Banchero","PF","ORL",65.6318456422156
"156",156,"Jared Butler","SG","PHI",65.4598088661117
"157",157,"Aaron Nesmith","SF","IND",65.3364820939765
"158",158,"Jaylen Clark","G","MIN",65.3293747735537
"159",159,"Dean Wade","PF","CLE",64.8691005016113
"160",160,"Andrew Nembhard","PG","IND",64.7482125323805
"161",161,"D'Angelo Russell","PG","BKN",64.4780130407901
"162",162,"Max Strus","SG","CLE",64.4575546367834
"163",163,"Zeke Nnaji","PF","DEN",64.4066039371319
"164",164,"Coby White","PG","CHI",64.2499267372597
"165",165,"Miles McBride","PG","NY",64.1810660334702
"166",166,"Marcus Sasser","G","DET",63.8675246410886
"167",167,"Rui Hachimura","PF","LAL",63.690977285505
"168",168,"Nic Claxton","C","BKN",63.5424067553178
"169",169,"Naji Marshall","SF","DAL",63.5276971780557
"170",170,"Jose Alvarado","PG","NO",63.1946141374796
"171",171,"Kevin Huerter","SG","CHI",63.1834018130807
"172",172,"Trey Murphy III","SG","NO",63.0791270080033
"173",173,"De'Andre Hunter","SF","CLE",63.0397555621313
"174",174,"Jarred Vanderbilt","PF","LAL",63.0278373330705
"175",175,"Guerschon Yabusele","F","PHI",63.0215917527879
"176",176,"Trayce Jackson-Davis","F","GS",62.9072235710402
"177",177,"Dorian Finney-Smith","PF","LAL",62.8818350668923
"178",178,"Miles Bridges","SF","CHA",62.7906387787188
"179",179,"Marcus Smart","PG","WSH",62.7754990097102
"180",180,"Craig Porter Jr.","G","CLE",62.6220139807235
"181",181,"Devin Vassell","SG","SA",62.5675311397935
"182",182,"Jeremy Sochan","F","SA",62.5408789893885
"183",183,"Jabari Walker","F","POR",62.3197877047671
"184",184,"Immanuel Quickley","SG","TOR",62.1953929968572
"185",185,"RJ Barrett","SG","TOR",62.1198915351615
"186",186,"Toumani Camara","F","POR",62.0480396515048
"187",187,"Jalen Green","SG","HOU",61.8977527331067
"188",188,"Colby Jones","G","WSH",61.611963191109
"189",189,"Jalen Suggs","SG","ORL",61.272153787076
"190",190,"Terance Mann","SG","ATL",61.2686521417225
"191",191,"P.J. Washington","PF","DAL",61.2665879567744
"192",192,"Clint Capela","C","ATL",61.1342077111379
"193",193,"Bradley Beal","SG","PHX",60.7907609168165
"194",194,"Grayson Allen","SG","PHX",60.4742582443929
"195",195,"Javonte Green","G","CLE",60.4600104858596
"196",196,"Nicolas Batum","PF","LAC",60.2277039032332
"197",197,"Mason Plumlee","C","PHX",60.2077990369238
"198",198,"Davion Mitchell","PG","MIA",60.0833735832105
"199",199,"Adem Bona","C","PHI",60.0614093078189
"200",200,"Jordan Goodwin","G","LAL",59.9237454483503
"201",201,"Moses Moody","SG","GS",59.9034344762338
"202",202,"Nickeil Alexander-Walker","SG","MIN",59.8373336904002
"203",203,"Tristan Vukcevic","PF","WSH",59.7804429710548
"204",204,"Deandre Ayton","C","POR",59.6668360300848
"205",205,"Buddy Hield","SG","GS",59.6187419710225
"206",206,"Jaime Jaquez Jr.","G","MIA",59.6104919924077
"207",207,"Precious Achiuwa","PF","NY",59.5734606743711
"208",208,"Spencer Dinwiddie","PG","DAL",59.5690550146781
"209",209,"Royce O'Neale","PF","PHX",59.4017807401805
"210",210,"Ayo Dosunmu","SG","CHI",59.3985983022918
"211",211,"Kentavious Caldwell-Pope","SG","ORL",59.3922112019353
"212",212,"Neemias Queta","C","BOS",58.8998222987463
"213",213,"Jordan Poole","SG","WSH",58.7205590853786
"214",214,"Cam Whitmore","F","HOU",58.5572104521091
"215",215,"Peyton Watson","F","DEN",58.556533805821
"216",216,"Keegan Murray","SF","SAC",58.3626474250554
"217",217,"Dennis Schroder","PG","DET",58.2257010927787
"218",218,"Jarace Walker","F","IND",58.1891936684113
"219",219,"Keldon Johnson","SF","SA",58.1844195231204
"220",220,"Anfernee Simons","SG","POR",58.0756219842537
"221",221,"Isaac Okoro","SF","CLE",57.7840715207621
"222",222,"Jonathan Kuminga","PF","GS",57.6697864698535
"223",223,"Ochai Agbaji","G","TOR",57.4757419551758
"224",224,"Gui Santos","F","GS",57.1543217461295
"225",225,"Haywood Highsmith","F","MIA",57.1186632249275
"226",226,"Steven Adams","C","HOU",57.0160327981831
"227",227,"Julian Champagnie","F","SA",56.8150189203327
"228",228,"Kyle Filipowski","F","UTAH",56.6073522042834
"229",229,"CJ McCollum","SG","NO",56.5307183803971
"230",230,"Nick Richards","C","PHX",56.3858613759048
"231",231,"Cole Anthony","PG","ORL",56.3674010148696
"232",232,"Ajay Mitchell","G","OKC",56.1030924272504
"233",233,"Kelly Oubre Jr.","SG","PHI",55.9284123005681
"234",234,"Collin Sexton","G","UTAH",55.8123227782208
"235",235,"Keaton Wallace","G","ATL",55.7370432816627
"236",236,"Delon Wright","G","NY",55.6941131304689
"237",237,"Gary Trent Jr.","SG","MIL",55.6656815931946
"238",238,"Quinten Post","C","GS",55.4772393963436
"239",239,"Kessler Edwards","F","DAL",55.4030508782379
"240",240,"Anthony Black","G","ORL",55.3316213463694
"241",241,"Shaedon Sharpe","SG","POR",55.2106553815251
"242",242,"Stephon Castle","G","SA",55.1911636781224
"243",243,"Wendell Carter Jr.","C","ORL",55.063708807569
"244",244,"Scoot Henderson","G","POR",55.0400752044806
"245",245,"Orlando Robinson","C","TOR",54.5260938097814
"246",246,"Andre Drummond","C","PHI",54.1961059109112
"247",247,"Brandon Ingram","SF","NO",54.107758161273
"248",248,"Herbert Jones","SF","NO",54.1014731207216
"249",249,"Jae'Sean Tate","SF","HOU",54.0708379925431
"250",250,"Matas Buzelis","F","CHI",54.0335684471837
"251",251,"Jaden Ivey","PG","DET",53.7710325715737
"252",252,"Duncan Robinson","F","MIA",53.3765707292264
"253",253,"Jalen Pickett","G","DEN",53.3759945777933
"254",254,"Taurean Prince","PF","MIL",53.3146154041197
"255",255,"Blake Wesley","G","SA",53.2576961796573
"256",256,"Bogdan Bogdanovic","SG","LAC",52.9641153860646
"257",257,"Jabari Smith Jr.","PF","HOU",52.8725523115273
"258",258,"Klay Thompson","SG","DAL",52.6277483474618
"259",259,"Lauri Markkanen","PF","UTAH",52.5765920351572
"260",260,"Georges Niang","SF","ATL",52.3299993866384
"261",261,"Olivier-Maxence Prosper","F","DAL",52.2924980347223
"262",262,"Bennedict Mathurin","SG","IND",52.232756190672
"263",263,"Malcolm Brogdon","G","WSH",52.2065118199488
"264",264,"Aaron Holiday","G","HOU",52.0826024960552
"265",265,"Julian Phillips","F","CHI",51.9929489940855
"266",266,"Max Christie","G","DAL",51.9219737736926
"267",267,"Jeremiah Robinson-Earl","F","NO",51.6266628367322
"268",268,"Kyle Lowry","PG","PHI",51.5395395487942
"269",269,"Dalton Knecht","G","LAL",51.3812978607268
"270",270,"Pat Connaughton","SG","MIL",51.2121565437336
"271",271,"Eric Gordon","SG","PHI",51.1016937754219
"272",272,"Cam Thomas","SG","BKN",51.0928994597496
"273",273,"Jared McCain","G","PHI",51.0611202097483
"274",274,"Jordan Clarkson","G","UTAH",50.9719613823702
"275",275,"Zaccharie Risacher","PF","ATL",50.70250799859
"276",276,"Jonathan Mogbo","F","TOR",50.6460004962371
"277",277,"Jaylen Wells","F","MEM",50.6353644203251
"278",278,"Jamal Cain","F","NO",50.6286757511948
"279",279,"Ben Sheppard","G","IND",50.571130744093
"280",280,"Seth Curry","SG","CHA",50.5524130252347
"281",281,"Brandon Miller","F","CHA",50.32921639207
"282",282,"Landry Shamet","PG","NY",49.8965038829617
"283",283,"Brice Sensabaugh","F","UTAH",49.8737662998195
"284",284,"Dillon Brooks","SF","HOU",49.6731219853474
"285",285,"Pelle Larsson","G","MIA",49.4736201366611
"286",286,"Bruce Brown","SF","NO",49.125968905982
"287",287,"Amir Coffey","F","LAC",49.1020742784685
"288",288,"Caleb Martin","SF","DAL",49.0810381436217
"289",289,"Ziaire Williams","F","BKN",49.075470710263
"290",290,"Ronald Holland II","F","DET",48.9071299579333
"291",291,"Justin Edwards","F","PHI",48.8320670333856
"292",292,"Ryan Dunn","F","PHX",48.5619108324742
"293",293,"Reed Sheppard","G","HOU",48.5532364317351
"294",294,"Jamal Shead","G","TOR",48.486545148031
"295",295,"Jericho Sims","C","MIL",48.4839344167832
"296",296,"AJ Green","G","MIL",48.4770888300074
"297",297,"Trendon Watford","PF","BKN",48.2785999284941
"298",298,"Alex Sarr","PF","WSH",47.974592312601
"299",299,"Rob Dillingham","G","MIN",47.972976265854
"300",300,"Caleb Houstan","G","ORL",47.9028754711166
"301",301,"Garrison Mathews","G","ATL",47.8754020195541
"302",302,"Dalen Terry","F","CHI",47.575123547349
"303",303,"Antonio Reeves","G","NO",47.487914167774
"304",304,"Bismack Biyombo","F","SA",47.4557163449944
"305",305,"Tosan Evbuomwan","F","BKN",47.3729911196249
"306",306,"Keyonte George","G","UTAH",47.2671713470496
"307",307,"Lindy Waters III","F","DET",47.253783900131
"308",308,"Tim Hardaway Jr.","SF","DET",47.0334832692849
"309",309,"Isaiah Collier","G","UTAH",46.9548307499557
"310",310,"Ja'Kobe Walter","G","TOR",46.9360427191264
"311",311,"Yves Missi","C","NO",46.916704914327
"312",312,"Johnny Juzang","G","UTAH",46.6380360394277
"313",313,"Oso Ighodaro","C","PHX",46.4960678225119
"314",314,"Micah Potter","C","UTAH",46.0753157350091
"315",315,"Bilal Coulibaly","SG","WSH",45.3146071546323
"316",316,"Corey Kispert","SF","WSH",45.2897499437076
"317",317,"Gabe Vincent","PG","LAL",45.0053247625238
"318",318,"Kris Murray","F","POR",44.9242855353996
"319",319,"Terry Rozier","SG","MIA",44.858552069955
"320",320,"Andre Jackson Jr.","G","MIL",44.6566129054599
"321",321,"Tyrese Martin","G","BKN",44.4656212688977
"322",322,"Simone Fontecchio","F","DET",44.2731692283416
"323",323,"Julian Strawther","G","DEN",44.1902972624336
"324",324,"Gary Harris","SG","ORL",44.015955635518
"325",325,"Patrick Williams","PF","CHI",44.0102470592962
"326",326,"Jamison Battle","F","TOR",43.875603763361
"327",327,"Jerami Grant","SF","POR",43.6007410006166
"328",328,"Gradey Dick","G","TOR",43.560533489913
"329",329,"Tristan da Silva","F","ORL",43.5579973943495
"330",330,"Kyshawn George","F","WSH",43.2471537637423
"331",331,"Svi Mykhailiuk","SG","UTAH",42.5542083840513
"332",332,"Josh Green","SG","CHA",41.8245094130073
"333",333,"Jaden Hardy","G","DAL",41.8007277553797
"334",334,"Kyle Kuzma","SF","MIL",41.5759579717341
"335",335,"Dillon Jones","G","OKC",40.890165389007
"336",336,"Jalen Wilson","F","BKN",40.5263441423244
"337",337,"Bub Carrington","G","WSH",40.0846500141002
"338",338,"Jordan Hawkins","G","NO",39.9078535810913
"339",339,"KJ Simpson","G","CHA",39.6096296616534
"340",340,"Noah Clowney","F","BKN",37.7149779812107
"341",341,"Jett Howard","G","ORL",37.7127361059938
"342",342,"AJ Johnson","G","WSH",36.8019216872151
"343",343,"Nick Smith Jr.","G","CHA",36.4188585990334
"344",344,"Maxi Kleber","PF","DAL",36.0579676368265
"345",345,"Cody Williams","F","UTAH",32.6526632732957
